Timestamp,Reason,TrackedIDs,ImageURL
2026-07-30 10:43:25,LOITERING THREAT!,"[1, 4]",https://ybluhrdjhbucikjyadpw.supabase.co/storage/v1/object/public/security-detections/thief_alerts/1785388405961_alert_1785388405.jpg?
2026-07-30 10:43:38,LOITERING THREAT!,"[1, 4]",https://ybluhrdjhbucikjyadpw.supabase.co/storage/v1/object/public/security-detections/thief_alerts/1785388418356_alert_1785388418.jpg?
